estID,est_name,full_ecosystem_type_name,efz_ha,Cumulative Pressure Level,pressure_2025_flow_modification,pressure_artificial_breaching,pressure_2018_Flow_modification,pressure_2025_pollution,pressure_2018_Pollution,pressure_2025_habitat_loss,pressure_2025_fishing_effort_DEFF,pressure_2018_fishing_effort_DEFF,pressure_2011_fishing_effort_DEFF,pressure_invasive_alien_plants,Pressure_alien_fish,OUTLET_IDw,NAME,LONGdd,LATdd,EcoType_na,RLE_NBA18,PL_NBA18,PES2018,type,zone,extent,RLE,EPL,RLE_EPL,realm,protection_level,threat_status
"153",Nqabara/Nqabarana,2 Warm Temperate - Predominantly Open,"307.8",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,Medium,,"224",Nqabara/Nqabarana,"28.79033097","-32.33971389",Warm Temperate Predominantly Open,Vulnerable,Poorly,A/B,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"154",Ngomane (East),2 Warm Temperate - Small Temporarily Closed,"25.9",Low,Low,,Low,Low,Low,Medium,Low,Low,Low,,,"227",Ngomane (East),"28.82950556","-32.30526389",Warm Temperate Small Temporarily Closed,Least Concern,Well,B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"155",Ngoma/Kobule,2 Warm Temperate - Small Temporarily Closed,"88.8",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"228",Ngoma/Kobule,"28.83731097","-32.301163",Warm Temperate Small Temporarily Closed,Least Concern,Well,A/B,Warm Temperate Small Temporarily Closed,Warm Temperate,"16.1027211742",LC,MP,LC_MP,est,Moderately Protected,Least Concern
"156",Mendu,2 Warm Temperate - Large Temporarily Closed,"107.4",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"230",Mendu,"28.877787","-32.28091583",Warm Temperate Large Temporarily Closed,Vulnerable,Moderately,A/B,Warm Temperate Large Temporarily Closed,Warm Temperate,"69.2596673221",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"157",Mendwana,2 Warm Temperate - Predominantly Open,"27.8",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"231",Mendwana,"28.884238","-32.268926",Warm Temperate Predominantly Open,Vulnerable,Poorly,A,Warm Temperate Predominantly Open,Warm Temperate,"176.692482939",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"158",Mbashe,3 Subtropical - Large Fluvially Dominated,"469.8",Medium,Medium,,Medium,Medium,Low,Low,Very high,Very high,High,,High,"233",Mbashe,"28.901901","-32.249985",Subtropical Large Fluvially Dominated,Endangered,Poorly,B,Subtropical Large Fluvially Dominated,Subtropical,"107.65828848",EN,PP,EN_PP,est,Poorly Protected,Endangered
"159",Ku-Mpenzu,3 Subtropical - Small Temporarily Closed,"31.7",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"234",Ku-Mpenzu,"28.914417","-32.24382694",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"160",Ku-Bhula (Mbhanyana),3 Subtropical - Small Temporarily Closed,"58.7",Low,Low,,Low,Low,Low,Low,High,Medium,Low,,,"235",Ku-Bhula (Mbhanyana),"28.928003","-32.22810694",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"161",Kwa-Suku,3 Subtropical - Large Temporarily Closed,"21.4",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"238",Kwa-Suku,"28.94688333","-32.20529444",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"162",Ntlonyane,3 Subtropical - Large Temporarily Closed,"89.7",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"239",Ntlonyane,"28.956662","-32.19470278",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"163",Nkanya,3 Subtropical - Large Temporarily Closed,"62.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"241",Nkanya,"28.974858","-32.1775",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"164",Sundwana,3 Subtropical - Small Temporarily Closed,"25.2",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"242",Sundwana,"28.98198","-32.173425",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"165",Xora,3 Subtropical - Predominantly Open,"261.5",Low,High,,Low,Low,Low,Low,Very high,High,Low,Medium,,"243",Xora,"28.99558497","-32.15863389",Subtropical Predominantly Open,Endangered,Moderately,A/B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"166",Bulungula,3 Subtropical - Large Temporarily Closed,"67.40000000000001",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,"244",Bulungula,"29.01151797","-32.13800778",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"167",Ku-Amanzimuzama,3 Subtropical - Small Temporarily Closed,"13",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"245",Ku-Amanzimuzama,"29.033381","-32.11492472",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"168",Nqakanqa,3 Subtropical - Small Temporarily Closed,"16.9",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"247",Nqakanqa,"29.06241997","-32.09863897",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"169",Mdikana,3 Subtropical - Small Temporarily Closed,"17",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"248",Mdikana,"29.069334","-32.08858397",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"170",Mncwasa,3 Subtropical - Large Temporarily Closed,"116.7",Low,Low,,Low,Low,Medium,Low,Low,Low,Low,,,"249",Mncwasa,"29.076077","-32.08270583",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"171",Mpako,3 Subtropical - Small Temporarily Closed,"51.5",Low,Low,,Low,Low,Medium,Low,Medium,Medium,Low,,,"253",Mpako,"29.10769497","-32.04023694",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"172",Nenga,3 Subtropical - Small Temporarily Closed,"33.6",Medium,Low,,Low,Low,Medium,High,Medium,Medium,Low,,,"259",Nenga,"29.15181","-31.985485",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"173",Mapuzi,3 Subtropical - Large Temporarily Closed,"12.2",Low,Low,,Low,Low,Medium,Low,Low,Low,Low,,,"260",Mapuzi,"29.168716","-31.96994778",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"174",Mtata,3 Subtropical - Predominantly Open,"545.6",Medium,Medium,,Medium,High,High,Medium,Very high,High,High,Medium,Very high,"261",Mtata,"29.183758","-31.95296278",Subtropical Predominantly Open,Endangered,Moderately,C,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"175",Thsani,3 Subtropical - Small Temporarily Closed,"12.6",Low,Low,,Low,Low,Medium,Low,Low,Low,Low,,,"262",Thsani,"29.20886","-31.94495972",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"176",Mdumbi,3 Subtropical - Predominantly Open,"254.9",Low,Low,,Low,Low,Low,Low,High,High,High,Medium,,"263",Mdumbi,"29.21629897","-31.93145",Subtropical Predominantly Open,Endangered,Moderately,B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"177",Lwandilana,3 Subtropical - Small Temporarily Closed,"49.6",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"269",Lwandilana,"29.243925","-31.89619778",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"178",Lwandile,3 Subtropical - Large Temporarily Closed,"100.5",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"270",Lwandile,"29.247536","-31.89094472",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"179",Mtakatye,3 Subtropical - Predominantly Open,"247.8",Low,Low,,Low,Low,Low,Low,High,High,High,Medium,,"274",Mtakatye,"29.270247","-31.85926972",Subtropical Predominantly Open,Endangered,Moderately,A/B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"180",Hluleka,3 Subtropical - Small Temporarily Closed,"30.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"276",Hluleka,"29.303612","-31.82740778",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"181",Mnenu,3 Subtropical - Large Temporarily Closed,"197",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"277",Mnenu,"29.33008997","-31.80756194",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"182",Mtonga,3 Subtropical - Large Temporarily Closed,"56.2",Medium,Low,,Low,Medium,Low,Low,Low,Low,Low,,,"278",Mtonga,"29.34829097","-31.79326083",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"183",Mpande,3 Subtropical - Large Temporarily Closed,"51.3",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"281",Mpande,"29.357143","-31.76224889",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"184",Sinangwana,3 Subtropical - Small Temporarily Closed,"123.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"282",Sinangwana,"29.36989397","-31.750498",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"185",Mngazana,3 Subtropical - Predominantly Open,"770.6",Low,Low,,Low,Low,Low,Low,Very high,High,High,,,"284",Mngazana,"29.422861","-31.69217694",Subtropical Predominantly Open,Endangered,Moderately,B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"186",Mngazi,3 Subtropical - Large Temporarily Closed,"434.3",Low,Low,,Low,Medium,Low,Low,High,High,Low,,,"285",Mngazi,"29.463134","-31.67718389",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"187",Gxwaleni,3 Subtropical - Small Temporarily Closed,"16.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"288",Gxwaleni,"29.506893","-31.65547389",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"188",Bulolo,3 Subtropical - Small Temporarily Closed,"13.2",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"289",Bulolo,"29.517749","-31.65068097",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"189",Mtumbane,3 Subtropical - Small Temporarily Closed,"15.5",Low,Low,,Low,Low,Low,Medium,Low,Low,Low,,,"290",Mtumbane,"29.520481","-31.64786278",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"190",Mzimvubu,3 Subtropical - Large Fluvially Dominated,"842.7",Low,Low,,Low,Medium,Medium,Low,High,High,High,Medium,Very high,"291",Mzimvubu,"29.54992897","-31.63114083",Subtropical Large Fluvially Dominated,Endangered,Poorly,B,Subtropical Large Fluvially Dominated,Subtropical,"107.65828848",EN,PP,EN_PP,est,Poorly Protected,Endangered
"191",Ntlupeni,3 Subtropical - Small Temporarily Closed,"30.8",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"294",Ntlupeni,"29.5812275","-31.60896194",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"192",Nkodusweni,3 Subtropical - Large Temporarily Closed,"100",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"296",Nkodusweni,"29.60816389","-31.59428333",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"193",Mntafufu,3 Subtropical - Predominantly Open,"277.5",Low,Low,,Low,Low,Low,Low,High,High,High,High,,"300",Mntafufu,"29.637729","-31.56251889",Subtropical Predominantly Open,Endangered,Moderately,B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"194",Ingo,3 Subtropical - Small Temporarily Closed,"34.7",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"303",Ingo,"29.66080556","-31.54914444",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"195",Mzintlava,3 Subtropical - Predominantly Open,"108.9",Low,Low,,Low,Low,Low,Low,High,High,High,,,"306",Mzintlava,"29.68979097","-31.52264389",Subtropical Predominantly Open,Endangered,Moderately,A/B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"196",Mzimpunzi,3 Subtropical - Small Temporarily Closed,"67.8",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"310",Mzimpunzi,"29.723106","-31.47995889",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"197",Kwanyambalala,3 Subtropical - Small Temporarily Closed,"24.8",Low,Low,,Low,Low,Low,Low,High,High,Low,,,"311",Kwanyambalala,"29.73418611","-31.46806236",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"198",Mbotyi,3 Subtropical - Small Temporarily Closed,"64.09999999999999",Low,Low,,Low,Low,Low,Low,High,High,Low,,,"312",Mbotyi,"29.73432222","-31.46684",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"199",Mkozi,3 Subtropical - Small Temporarily Closed,"38.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"314",Mkozi,"29.76157397","-31.44853389",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"200",Sikatsha,3 Subtropical - Small Temporarily Closed,"13.3",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"316",Sikatsha,"29.76833333","-31.445",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"201",Lupatana,3 Subtropical - Small Temporarily Closed,"14.5",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"323",Lupatana,"29.851479","-31.42328083",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"202",Mkweni,3 Subtropical - Small Temporarily Closed,"15.4",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"324",Mkweni,"29.87283333","-31.40340833",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"203",Msikaba,3 Subtropical - Predominantly Open,"142",Low,Low,,Low,Low,Low,Low,High,High,High,Medium,,"333",Msikaba,"29.96770556","-31.31922222",Subtropical Predominantly Open,Endangered,Moderately,A/B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"204",Mgwegwe,3 Subtropical - Small Temporarily Closed,"19.4",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"338",Mgwegwe,"30.011365","-31.28765389",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"205",Mgwetyana,3 Subtropical - Small Temporarily Closed,"22.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"340",Mgwetyana,"30.03971597","-31.26179278",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"206",Mtentu,3 Subtropical - Predominantly Open,"92.8",Low,Low,,Low,Low,Low,Low,High,High,High,Medium,High,"342",Mtentu,"30.04626497","-31.24885694",Subtropical Predominantly Open,Endangered,Moderately,A/B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"207",Sikombe,3 Subtropical - Small Temporarily Closed,"102.1",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"345",Sikombe,"30.069406","-31.22203694",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"208",Kwanyana,3 Subtropical - Small Temporarily Closed,"57.8",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"346",Kwanyana,"30.10490597","-31.18633083",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"209",Mtolane,3 Subtropical - Small Temporarily Closed,"46.5",Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,"347",Mtolane,"30.12697597","-31.159672",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"210",Mnyameni,3 Subtropical - Large Temporarily Closed,"87.5",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"348",Mnyameni,"30.13378","-31.152132",Subtropical Large Temporarily Closed,Endangered,Poorly,A/B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"211",Mpahlanyana,3 Subtropical - Small Temporarily Closed,"24.1",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"350",Mpahlanyana,"30.16016197","-31.124438",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"212",Mpahlane,3 Subtropical - Small Temporarily Closed,"35.2",Low,Low,,Low,Low,Low,Low,Medium,Medium,Low,,,"351",Mpahlane,"30.16484","-31.119444",Subtropical Small Temporarily Closed,Vulnerable,Moderately,A/B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"213",Mzamba,3 Subtropical - Predominantly Open,"110.7",Low,Low,,Low,Low,Low,Low,High,High,High,Medium,,"352",Mzamba,"30.17399997","-31.10885",Subtropical Predominantly Open,Endangered,Moderately,B,Subtropical Predominantly Open,Subtropical,"78.49914201670001",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"214",Mtentwana,3 Subtropical - Small Temporarily Closed,"33.4",Medium,Low,,Low,Medium,Very high,Medium,Low,Low,Low,,,"353",Mtentwana,"30.18755497","-31.08829897",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"215",uMthavuna,3 Subtropical - Predominantly Open,"160",Low,Low,,Low,Low,Low,Low,High,High,Low,Medium,Low,"354",uMthavuna,"30.193694","-31.08452",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"216",iSolwane,3 Subtropical - Small Temporarily Closed,"18.7",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,"355",iSolwane,"30.20482","-31.07539389",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"217",iSandlu,3 Subtropical - Small Temporarily Closed,"32.4",Medium,Low,,Low,Low,Low,Medium,Low,Low,Low,Medium,,"360",iSandlu,"30.22905797","-31.04261997",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"218",uMbhoyibhoyi,3 Subtropical - Small Temporarily Closed,"20.2",Low,Low,,Low,Low,Low,Low,Low,Low,Low,Medium,,"361",uMbhoyibhoyi,"30.235601","-31.03466",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"219",uMuntongazi,3 Subtropical - Small Temporarily Closed,"11.5",Medium,Low,,Low,High,High,Medium,Low,Low,Low,,,"364",uMuntongazi,"30.25683097","-31.011437",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B/C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"220",iKhandalendlovu,3 Subtropical - Small Temporarily Closed,"31.6",Low,Low,,Low,Medium,Medium,Low,Low,Low,Low,Medium,,"365",iKhandalendlovu,"30.269293","-30.99739583",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"221",iMpenjani,3 Subtropical - Large Temporarily Closed,"100.8",Medium,Low,,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,,"370",iMpenjani,"30.284106","-30.97370778",Subtropical Large Temporarily Closed,Endangered,Poorly,B/C,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"222",uMhlangomkhulu (South) (Umhlangankulu),3 Subtropical - Large Temporarily Closed,"45.5",Medium,Low,,Low,Very high,Very high,Low,Medium,Low,Low,,,"371",uMhlangomkhulu (South) (Umhlangankulu),"30.30307497","-30.94541389",Subtropical Large Temporarily Closed,Endangered,Poorly,C,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"223",iKhaba,3 Subtropical - Small Temporarily Closed,"26.2",Medium,Low,,Low,Very high,Very high,Medium,Medium,Low,Low,High,,"372",iKhaba,"30.308989","-30.935966",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"224",iMbizana,3 Subtropical - Large Temporarily Closed,"95.90000000000001",Low,Low,,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,"374",iMbizana,"30.334784","-30.90863972",Subtropical Large Temporarily Closed,Endangered,Poorly,B,Subtropical Large Temporarily Closed,Subtropical,"50.512089756",VU,PP,VU_PP,est,Poorly Protected,Vulnerable
"225",iMvutshini,3 Subtropical - Small Temporarily Closed,"10.7",Medium,Low,,Low,High,High,Medium,Low,Low,Low,Medium,,"377",iMvutshini,"30.34713597","-30.89407889",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B/C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"226",iBilanhlonhlo,3 Subtropical - Small Temporarily Closed,"23.6",High,Low,Low,Low,High,High,High,High,Low,Low,Medium,,"378",iBilanhlonhlo,"30.34892997","-30.89019083",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"227",uVuzana,3 Subtropical - Small Temporarily Closed,"9.800000000000001",Medium,Low,,Low,Very high,Very high,Medium,Medium,Low,Low,Medium,,"379",uVuzana,"30.35895597","-30.87840389",Subtropical Small Temporarily Closed,Vulnerable,Moderately,C,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"228",iKongeni,3 Subtropical - Small Temporarily Closed,"44.8",Very high,Very high,High,Very high,Very high,Very high,High,Medium,Medium,Low,,High,"380",iKongeni,"30.37273597","-30.86146889",Subtropical Small Temporarily Closed,Vulnerable,Moderately,D/E,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
"229",uVunguza,3 Subtropical - Small Temporarily Closed,"14.5",Low,Low,,Low,Very high,Very high,Low,Low,Low,Low,Medium,,"382",uVunguza,"30.39531397","-30.83648472",Subtropical Small Temporarily Closed,Vulnerable,Moderately,B,Subtropical Small Temporarily Closed,Subtropical,"20.4839036646",VU,MP,VU_MP,est,Moderately Protected,Vulnerable
